esgType,Sector,industry,Company,locationName,locationGeneralType,locationType,countryName,latitude,longitude,NonGHGAirPollutants,GHGEmissions,SoilPollutants,SolidWaste,WaterPollutants,WaterUse,WaterQuality,waterStressScore,MarineEcosystemUse,FreshwaterEcosystemUse,ProductionProcess,landUsage,TotalSpeciesCount1km,located_within_KBA_or_Not,located_within_WPA_or_Not,area_KBA_1km,area_WPA_1km,distance_Kms_to_closest_KBA,distance_Kms_to_closest_WPA,AnnualHurricaneOccurance250Km,AnnualMaxStormSpeed250Km,AnnualLandslideOccurance25Km,RiverineInundation2030RCP45ReturnPeriod100,RiverineInundation2050RCP45ReturnPeriod100,RiverineInundation2080RCP45ReturnPeriod100,RiverineInundation2030RCP85ReturnPeriod100,RiverineInundation2050RCP85ReturnPeriod100,RiverineInundation2080RCP85ReturnPeriod100,CoastalInundation2030RCP45ReturnPeriod100Percentile95,CoastalInundation2030RCP85ReturnPeriod100Percentile95,CoastalInundation2050RCP45ReturnPeriod100Percentile95,CoastalInundation2050RCP85ReturnPeriod100Percentile95,CoastalInundation2080RCP45ReturnPeriod100Percentile95,CoastalInundation2080RCP85ReturnPeriod100Percentile95,heatwaveRiskScore_2025_RCP45,heatwaveRiskScore_2025_RCP85,heatwaveRiskScore_2050_RCP45,heatwaveRiskScore_2050_RCP85,heatwaveRiskScore_2075_RCP45,heatwaveRiskScore_2075_RCP85,heatwaveRiskScore_2100_RCP45,heatwaveRiskScore_2100_RCP85,coldwaveRiskScore_2025_RCP45,coldwaveRiskScore_2025_RCP85,coldwaveRiskScore_2050_RCP45,coldwaveRiskScore_2050_RCP85,coldwaveRiskScore_2075_RCP45,coldwaveRiskScore_2075_RCP85,coldwaveRiskScore_2100_RCP45,coldwaveRiskScore_2100_RCP85,annualAccumilatedRainfall2030RCP45,annualAccumilatedRainfall2030RCP85,annualAccumilatedRainfall2050RCP45,annualAccumilatedRainfall2050RCP85,annualAccumilatedRainfall2080RCP45,annualAccumilatedRainfall2080RCP85,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_109437,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies E&P Uganda BV,Office,Office,Uganda,0.3273511,32.5833236,,,,M,,,,0,,,Oil and gas services,0.00411304,1275,0,0,0,0,17.651,3.249,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,113.42,113.29,110.96,118.38,123,137.25,2023,0,0.01
ESG_109442,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Hanwha Total Petrochemical Plant,Plant,Chemical Plant,"Korea, Republic of",36.9980778,126.3678164,H,H,H,H,H,VH,,22.49024,M,H,Oil and gas exploration surveys,7.331609324,710,0,0,0,0,27.027,3.009,,,,0.646,0.734,0.754,0.634,0.626,0.79,0.03,0.03,0.04,0.05,0.07,0.08,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,99.92,98.29,98.75,98.58,101.21,102.12,2023,7.54,37.72
ESG_109443,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Total Austral Tierra del Fuego Office,Office,Office,Argentina,-53.74625325,-67.74805309,H,H,H,H,H,VH,,10.48939778,M,H,Oil and gas exploration surveys,0.016694293,304,1,1,2.323,2.415,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,28.67,27.83,27.5,29.58,27.92,2023,3.97,40.56
ESG_109444,Energy,Electrical Equipment,TotalEnergies SE,Sunpower Mexicali Production Plant,Plant,Solar Panel Production Plant,Mexico,32.6260235,-115.5330337,,,H,M,H,,,94.77762196,,,Electronics and hardware production,0.424405386,444,0,0,0,0,4.08,1.362,,,,0,0,0,0,0,0,0,0,0,0,0,0,22,22,27,26,28,31,27,37,0,0,0,0,0,0,0,0,10.75,9.75,8.75,7.42,9.67,6.5,2023,11.01,1.34
ESG_109445,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnrgies La Tour De Salvagny Supplier,Supplier,Energy Equipment Supplier,France,45.8158556,4.726056,H,H,H,H,H,VH,,1.698877566,,H,Mining,0.027121816,849,0,0,0,0,12.835,7.084,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,62.67,65.92,62.42,60.08,65.58,56.17,2023,0.62,0.22
ESG_109446,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Canejan Office,Office,Office,France,44.7737944,-0.6571846,,,,M,,,,9.835618358,,,Oil and gas services,0.004976826,765,0,0,0,0,13.51,8.986,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74.25,78,72.83,73.08,76.08,65.67,2023,0.52,1.57
ESG_109448,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Puteaux Office,Office,Office,France,48.8843664,2.2488303,,,,M,,,,5.735097987,,,Oil and gas services,0.002209169,754,0,0,0,0,28.968,8.115,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.92,55.92,53.92,51.42,54.5,50.17,2023,0.56,7.59
ESG_109449,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Total Austral Perito Moreno Street Office,Office,Office,Argentina,-53.7871114,-67.7031456,,,,M,,,,9.86444372,,,Oil and gas services,0.005187001,305,1,1,2.9,3.005,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,28.67,27.83,27.5,29.58,27.92,2023,21,21.14
ESG_109450,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Chalons En Champagne Office,Office,Office,France,48.976835,4.378559,,,,M,,,,5.270044038,,,Oil and gas services,0.001835625,755,0,0,0,0,27.748,10.783,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.75,56.67,56.42,51.75,55.92,52.5,2023,0,0
ESG_109451,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,Total Quadran Avignon Office,Office,Office,France,43.9161329,4.8939276,,,,M,,,,0.740651232,,,Oil and gas services,0.002433687,874,0,0,0,0,1.614,1.653,,,,0.404,0.396,0.418,0.268,0.482,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.25,50.25,49.67,46.92,51.25,42.58,2023,0,0.09
