Location,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_154002,2023,0.0,0.15
ESG_154004,2023,0.0,0.25
ESG_154006,2023,0.69,0.07
ESG_154007,2023,0.0,0.18
ESG_154011,2023,0.0,1.54
ESG_154012,2023,1.59,1.58
ESG_154014,2023,0.66,0.02
ESG_154016,2023,1.17,1.62
ESG_154018,2023,3.74,0.61
ESG_154021,2023,0.0,2.24
ESG_154025,2023,0.0,2.96
ESG_154026,2023,0.11,0.48
ESG_154028,2023,0.24,15.77
ESG_154029,2023,0.21,0.45
ESG_154031,2023,0.0,0.22
ESG_154033,2023,0.79,0.43
ESG_154035,2023,1.02,0.8
ESG_154037,2023,2.82,2.07
ESG_154039,2023,14.38,12.37
ESG_154042,2023,0.0,1.09
ESG_154047,2023,5.44,1.85
ESG_154050,2023,0.0,0.21
ESG_154062,2023,3.56,1.48
ESG_154064,2023,0.27,0.17
ESG_154065,2023,0.33,0.52
ESG_154067,2023,3.45,0.92
ESG_154068,2023,6.36,3.41
ESG_154070,2023,0.0,0.03
ESG_154078,2023,1.17,0.58
ESG_154084,2023,0.0,2.07
ESG_154086,2023,0.0,0.06
ESG_154087,2023,8.04,1.74
ESG_154094,2023,1.15,0.62
ESG_154098,2023,0.68,0.96
ESG_154101,2023,0.0,1.13
ESG_154103,2023,1.48,0.54
ESG_154106,2023,0.24,1.72
ESG_154107,2023,0.0,0.76
ESG_154110,2023,0.0,0.0
ESG_154140,2023,4.31,1.7
ESG_154145,2023,0.0,0.11
ESG_154148,2023,6.46,1.67
ESG_154153,2023,0.0,0.48
ESG_154154,2023,0.09,0.07
ESG_154160,2023,0.0,2.97
ESG_154162,2023,5.98,1.83
ESG_154164,2023,0.39,0.63
ESG_154165,2023,0.0,14.46
ESG_154168,2023,0.0,18.02
ESG_154169,2023,0.0,0.01
ESG_154173,2023,0.0,0.05
ESG_154174,2023,0.0,13.17
ESG_154182,2023,0.91,0.67
ESG_154182,2023,0.91,0.67
ESG_154184,2023,0.53,0.11
ESG_154184,2023,0.53,0.11
ESG_154194,2023,15.3,5.78
ESG_154194,2023,15.3,5.78
ESG_154206,2023,0.26,0.18
ESG_154206,2023,0.26,0.18
ESG_154212,2023,0.06,0.12
ESG_154212,2023,0.06,0.12
ESG_154215,2023,0.1,0.16
ESG_154215,2023,0.1,0.16
ESG_154219,2023,0.0,0.0
ESG_154219,2023,0.0,0.0
ESG_154224,2023,0.0,0.58
ESG_154226,2023,3.83,1.65
ESG_154232,2023,0.0,0.09
ESG_154238,2023,0.0,0.17
ESG_154241,2023,2.47,1.28
ESG_160260,2023,10.32,3.2
ESG_160262,2023,0.0,0.16
ESG_160270,2023,0.32,0.35
ESG_160273,2023,1.28,1.75
ESG_160288,2023,0.0,3.19
ESG_160290,2023,0.0,1.02
ESG_160293,2023,1.47,0.29
ESG_160298,2023,0.0,0.0
ESG_160302,2023,5.62,1.69
ESG_160312,2023,0.31,2.14
ESG_160319,2023,,
ESG_160320,2023,2.53,0.97
ESG_160323,2023,0.64,38.55
ESG_160325,2023,0.0,11.51
ESG_160327,2023,0.33,0.44
ESG_160369,2023,0.0,0.01
ESG_160374,2023,0.0,0.0
ESG_160385,2023,2.33,7.33
ESG_160396,2023,10.88,2.04
ESG_160407,2023,3.4,8.68
ESG_160409,2023,12.8,1.35
ESG_160415,2023,2.84,0.65
ESG_160421,2023,0.1,0.36
ESG_160426,2023,0.73,1.22
ESG_160431,2023,23.18,17.84
ESG_160435,2023,0.0,0.14
ESG_160442,2023,0.09,21.85
ESG_160446,2023,0.16,0.48
ESG_160459,2023,3.11,3.77
ESG_160462,2023,1.88,3.7
ESG_160473,2023,,
ESG_160475,2023,6.75,0.58
ESG_160476,2023,0.22,0.04
ESG_160500,2023,6.38,2.83
ESG_160505,2023,0.39,6.42
ESG_160509,2023,0.13,1.77
ESG_160513,2023,0.21,0.13
ESG_160516,2023,12.3,11.94
ESG_160519,2023,0.09,0.43
ESG_160524,2023,0.0,0.0
ESG_160533,2023,0.7,7.52
ESG_160538,2023,0.0,0.63
ESG_160544,2023,11.17,5.64
ESG_160549,2023,0.0,0.08
ESG_160556,2023,0.0,0.13
ESG_160559,2023,0.12,0.49
ESG_160562,2023,8.18,31.84
ESG_160565,2023,5.17,1.11
ESG_160571,2023,2.54,13.47
ESG_160576,2023,0.87,0.07
ESG_160581,2023,0.36,0.04
ESG_160591,2023,0.0,0.0
ESG_160596,2023,0.0,0.19
ESG_160606,2023,0.0,0.0
ESG_160611,2023,3.51,1.35
ESG_160615,2023,2.44,0.35
ESG_160624,2023,7.87,1.07
ESG_160632,2023,4.15,0.61
ESG_160634,2023,17.04,35.75
ESG_160638,2023,0.0,2.47
ESG_160640,2023,,
ESG_160657,2023,7.52,0.48
ESG_160658,2023,7.14,6.02
ESG_160662,2023,24.9,2.84
ESG_160666,2023,19.75,5.33
ESG_160670,2023,18.96,32.88
ESG_160677,2023,7.51,3.71
ESG_160682,2023,9.96,1.28
ESG_160684,2023,0.0,0.49
ESG_160685,2023,2.71,1.29
ESG_160688,2023,0.91,0.17
ESG_160691,2023,0.11,1.23
ESG_160693,2023,13.37,2.28
ESG_160701,2023,1.86,1.09
ESG_160703,2023,3.27,4.73
ESG_160706,2023,3.17,0.74
ESG_160707,2023,10.13,1.67
ESG_160709,2023,0.6,1.52
ESG_160715,2023,0.0,0.03
ESG_160719,2023,0.18,0.05
ESG_160720,2023,0.0,0.05
ESG_160722,2023,32.4,46.1
ESG_160729,2023,0.0,0.22
ESG_160730,2023,0.0,0.11
ESG_160731,2023,0.0,0.0
