Location,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_162455,2023,24.34,2.64
ESG_162456,2023,1.18,3.57
ESG_162458,2023,0.98,14.75
ESG_162459,2023,0.48,0.47
ESG_162460,2023,0.0,0.28
ESG_162463,2023,0.0,0.4
ESG_162468,2023,0.35,0.14
ESG_162472,2023,16.9,6.56
ESG_162474,2023,0.0,2.05
ESG_162476,2023,0.0,0.24
ESG_163574,2023,0.0,16.56
ESG_163578,2023,0.0,0.58
ESG_163581,2023,3.29,1.11
ESG_163584,2023,0.93,0.18
ESG_163588,2023,0.0,0.61
ESG_163597,2023,0.0,15.21
ESG_163604,2023,1.33,0.24
ESG_163609,2023,4.17,0.45
ESG_163620,2023,3.45,1.08
ESG_163633,2023,14.1,3.97
ESG_163653,2023,0.0,0.04
ESG_163667,2023,3.8,4.29
ESG_163673,2023,23.91,3.6
ESG_163685,2023,3.8,1.27
ESG_163698,2023,17.35,8.08
ESG_163710,2023,0.65,1.41
ESG_163719,2023,0.22,0.91
ESG_163734,2023,1.28,0.7
ESG_163745,2023,19.54,2.93
ESG_163752,2023,9.32,5.54
ESG_163761,2023,2.26,25.11
ESG_163764,2023,7.75,8.02
ESG_163777,2023,0.0,0.0
ESG_163785,2023,0.0,0.05
ESG_163791,2023,0.0,2.06
ESG_163795,2023,3.92,6.32
ESG_163803,2023,5.23,3.69
ESG_163814,2023,10.27,9.14
ESG_163857,2023,5.48,6.41
ESG_163869,2023,,
ESG_163877,2023,,
ESG_163878,2023,5.09,3.95
ESG_163884,2023,0.0,31.05
ESG_163891,2023,,
ESG_163895,2023,,
ESG_163904,2023,17.61,4.33
ESG_163907,2023,8.28,4.74
ESG_163911,2023,6.33,20.45
ESG_163923,2023,0.0,0.68
ESG_163928,2023,12.45,4.43
ESG_163937,2023,0.0,0.05
ESG_163941,2023,0.0,0.72
ESG_163950,2023,0.0,0.27
ESG_163954,2023,0.0,8.89
ESG_163965,2023,0.0,0.05
ESG_163973,2023,0.0,0.2
ESG_163984,2023,0.0,0.46
ESG_163990,2023,0.0,2.32
ESG_163994,2023,0.36,0.07
ESG_163999,2023,2.41,0.06
ESG_164014,2023,0.93,0.54
ESG_164028,2023,0.64,0.2
ESG_164036,2023,0.14,2.25
ESG_164056,2023,0.0,0.42
ESG_164063,2023,0.14,0.05
ESG_164067,2023,0.19,2.58
ESG_164070,2023,0.0,3.86
ESG_164075,2023,0.0,0.32
ESG_164077,2023,0.58,0.35
ESG_164081,2023,2.04,1.16
ESG_164092,2023,0.52,0.13
ESG_164096,2023,0.54,0.54
ESG_164103,2023,0.49,0.2
ESG_164106,2023,0.0,0.42
ESG_164108,2023,0.0,0.0
ESG_164111,2023,0.26,0.04
ESG_164124,2023,0.0,1.46
ESG_164128,2023,0.16,1.28
ESG_164129,2023,6.97,1.9
ESG_164131,2023,19.08,41.97
ESG_164136,2023,0.0,0.24
ESG_164143,2023,5.37,2.03
ESG_164145,2023,2.31,0.4
ESG_164152,2023,0.0,0.4
ESG_164156,2023,0.0,0.0
ESG_164161,2023,0.0,1.63
ESG_164165,2023,0.23,1.13
ESG_164171,2023,0.0,0.59
ESG_164177,2023,1.38,2.27
ESG_164181,2023,0.0,0.19
ESG_164197,2023,0.71,1.76
ESG_164201,2023,0.37,0.53
ESG_164267,2023,8.43,26.57
ESG_164269,2023,1.23,5.4
ESG_164271,2023,0.0,0.87
ESG_164274,2023,0.0,0.41
ESG_164276,2023,0.0,0.24
ESG_164279,2023,2.36,2.19
ESG_164282,2023,2.81,0.58
ESG_164284,2023,1.0,0.62
ESG_164290,2023,5.51,0.85
ESG_164297,2023,0.8,0.65
ESG_164299,2023,0.0,0.33
ESG_164303,2023,16.08,22.08
ESG_164305,2023,0.0,0.17
ESG_164310,2023,0.43,3.22
ESG_164314,2023,1.02,0.57
ESG_164319,2023,0.0,0.17
ESG_164320,2023,0.0,0.08
ESG_164325,2023,0.0,0.14
ESG_164328,2023,1.42,0.23
ESG_164337,2023,0.42,7.55
ESG_164346,2023,0.0,0.09
ESG_164357,2023,0.63,0.5
ESG_164365,2023,0.0,0.26
ESG_164373,2023,0.0,0.02
ESG_164383,2023,0.0,0.25
ESG_164417,2023,5.79,2.32
ESG_164421,2023,1.84,1.59
ESG_164424,2023,0.0,4.11
ESG_164427,2023,3.29,2.03
ESG_164429,2023,0.71,0.56
ESG_164431,2023,0.0,0.36
ESG_164433,2023,0.0,14.58
ESG_164441,2023,2.07,6.03
ESG_164446,2023,0.0,0.12
ESG_164448,2023,0.46,0.3
ESG_164450,2023,0.77,0.59
ESG_164457,2023,0.0,0.02
ESG_164465,2023,0.0,0.04
ESG_164475,2023,,
ESG_164478,2023,,
ESG_164481,2023,0.0,0.12
ESG_164486,2023,3.57,12.2
ESG_164502,2023,0.39,0.75
ESG_164504,2023,0.0,0.08
ESG_164517,2023,0.0,0.18
ESG_164525,2023,0.0,0.22
ESG_164532,2023,0.0,0.03
ESG_164610,2023,5.88,17.26
ESG_164633,2023,0.51,0.43
ESG_164661,2023,3.4,12.28
ESG_164667,2023,0.0,0.67
ESG_164681,2023,0.0,0.05
ESG_164686,2023,9.09,58.72
ESG_164690,2023,2.17,9.13
ESG_164696,2023,0.0,0.08
ESG_164697,2023,0.0,1.02
ESG_164715,2023,1.74,1.48
ESG_164756,2023,1.42,2.32
ESG_164761,2023,0.0,0.63
ESG_164767,2023,0.0,0.19
ESG_164777,2023,12.5,8.6
ESG_164784,2023,1.73,6.58
ESG_164793,2023,7.17,1.65
ESG_164810,2023,0.0,0.08
ESG_164815,2023,0.2,0.18
ESG_164822,2023,0.0,2.68
ESG_164832,2023,3.46,1.35
ESG_164839,2023,17.83,8.21
ESG_164850,2023,0.0,0.0
ESG_164854,2023,0.43,0.56
ESG_164863,2023,0.0,0.29
ESG_164911,2023,0.0,0.38
ESG_164952,2023,0.0,0.11
ESG_164962,2023,0.0,0.03
ESG_164985,2023,1.35,15.86
ESG_164995,2023,0.0,0.09
ESG_165000,2023,0.67,0.19
ESG_165003,2023,3.21,11.68
ESG_165026,2023,3.66,34.11
ESG_165038,2023,0.0,0.03
ESG_165049,2023,0.0,0.07
ESG_165052,2023,4.98,11.02
ESG_165055,2023,1.47,0.38
ESG_165087,2023,0.0,0.15
ESG_165108,2023,2.65,0.35
ESG_165118,2023,0.0,0.02
ESG_165124,2023,3.55,4.22
ESG_165130,2023,12.12,35.47
ESG_165176,2023,0.51,0.24
ESG_165206,2023,12.33,4.41
ESG_165213,2023,0.0,0.28
ESG_165221,2023,0.0,7.5
ESG_165226,2023,2.79,1.92
ESG_165249,2023,1.68,0.03
ESG_165255,2023,0.0,0.43
ESG_165259,2023,0.0,0.07
ESG_165277,2023,0.0,0.54
ESG_165299,2023,0.76,0.77
ESG_165303,2023,0.34,0.31
ESG_167518,2023,8.87,1.63
ESG_167520,2023,0.0,0.0
ESG_167522,2023,0.0,0.12
ESG_167523,2023,0.0,0.0
ESG_167525,2023,13.71,4.96
ESG_167529,2023,0.11,0.01
ESG_167536,2023,0.0,0.09
ESG_167538,2023,0.0,0.21
ESG_167541,2023,0.0,0.1
ESG_167544,2023,0.0,0.11
ESG_167547,2023,0.41,4.47
ESG_167550,2023,22.19,37.48
ESG_167562,2023,0.85,1.33
ESG_167564,2023,1.16,0.48
ESG_167573,2023,1.11,2.28
ESG_167575,2023,0.0,0.0
ESG_167576,2023,0.0,0.02
ESG_167585,2023,0.0,14.53
ESG_167597,2023,1.23,1.23
ESG_167602,2023,0.0,0.15
ESG_167620,2023,0.0,8.21
ESG_167621,2023,0.5,0.55
ESG_167632,2023,0.0,0.2
ESG_167636,2023,0.29,0.04
ESG_167652,2023,0.08,0.01
ESG_167657,2023,0.0,0.03
ESG_167661,2023,0.0,10.65
ESG_167699,2023,0.0,0.34
ESG_167706,2023,0.0,0.27
ESG_167710,2023,0.71,1.0
ESG_167716,2023,0.0,3.97
ESG_167719,2023,0.0,0.03
ESG_167725,2023,0.0,0.05
ESG_167727,2023,1.67,0.18
ESG_167730,2023,0.0,0.04
ESG_167734,2023,41.52,26.12
ESG_167740,2023,1.3,1.05
ESG_167749,2023,0.34,1.63
ESG_167750,2023,0.0,0.06
ESG_167753,2023,0.0,0.0
ESG_167759,2023,0.41,0.09
ESG_167760,2023,0.0,0.06
ESG_167762,2023,2.63,3.25
ESG_167767,2023,0.0,0.35
ESG_167768,2023,0.0,3.87
ESG_167769,2023,1.12,0.23
ESG_167771,2023,1.24,0.22
ESG_167781,2023,0.0,0.09
ESG_167784,2023,0.0,21.89
ESG_167789,2023,1.27,0.52
ESG_167794,2023,11.35,10.64
ESG_167799,2023,0.0,0.1
ESG_167802,2023,0.0,0.0
ESG_167804,2023,0.46,18.47
ESG_167814,2023,3.72,39.2
ESG_167826,2023,0.0,1.05
ESG_167827,2023,0.0,32.03
ESG_167830,2023,0.94,24.41
ESG_167841,2023,0.0,0.31
ESG_167845,2023,2.2,0.78
ESG_167847,2023,0.0,0.0
ESG_167852,2023,0.0,19.42
ESG_167855,2023,0.0,1.61
ESG_167857,2023,0.0,0.71
ESG_167861,2023,1.76,0.16
ESG_167877,2023,4.75,0.14
ESG_167921,2023,0.0,1.38
ESG_167924,2023,0.0,0.17
ESG_167932,2023,0.0,0.0
ESG_167936,2023,0.0,19.67
ESG_167938,2023,0.0,0.48
ESG_167950,2023,0.52,26.42
ESG_167953,2023,0.0,19.84
ESG_167976,2023,2.41,0.52
ESG_167977,2023,0.0,5.65
ESG_167979,2023,0.0,0.16
ESG_167980,2023,4.17,0.57
ESG_167983,2023,5.75,0.8
ESG_167984,2023,1.43,0.66
ESG_167987,2023,0.0,0.01
ESG_167989,2023,0.0,4.89
ESG_167990,2023,0.0,0.03
ESG_167992,2023,0.0,0.07
ESG_167994,2023,0.0,6.0
ESG_167995,2023,0.0,2.61
ESG_167996,2023,0.0,0.14
ESG_167997,2023,0.0,0.01
ESG_167998,2023,21.73,28.96
ESG_168009,2023,12.64,0.46
ESG_168017,2023,0.45,1.22
ESG_168023,2023,2.7,0.07
ESG_168025,2023,0.0,0.24
ESG_168027,2023,0.0,0.19
ESG_168035,2023,2.54,0.26
ESG_168041,2023,0.0,0.24
ESG_168047,2023,0.0,0.08
ESG_168072,2023,8.29,0.27
ESG_168075,2023,9.85,15.92
ESG_168080,2023,17.79,16.17
ESG_168082,2023,0.0,0.0
ESG_168098,2023,0.0,8.51
ESG_168124,2023,19.91,4.29
ESG_168126,2023,8.18,0.65
ESG_168132,2023,3.21,0.44
ESG_168135,2023,12.04,5.29
ESG_168138,2023,6.09,4.25
ESG_168143,2023,10.18,0.62
ESG_168155,2023,27.18,7.57
ESG_168156,2023,0.93,0.07
ESG_168159,2023,21.48,6.14
ESG_168162,2023,0.4,1.96
ESG_168165,2023,4.33,0.86
ESG_168167,2023,0.29,0.76
ESG_168170,2023,7.03,4.01
ESG_168172,2023,29.27,2.43
ESG_168174,2023,4.41,0.41
ESG_168200,2023,7.63,0.64
ESG_168204,2023,5.85,2.73
ESG_168208,2023,53.27,8.92
ESG_168213,2023,0.63,18.27
ESG_168218,2023,0.44,7.13
ESG_168224,2023,17.06,5.71
ESG_168228,2023,2.76,2.94
ESG_168230,2023,15.02,7.3
ESG_168233,2023,14.71,0.83
ESG_168237,2023,26.79,11.06
ESG_168243,2023,14.43,0.75
ESG_168250,2023,2.87,2.93
ESG_168253,2023,17.52,5.56
ESG_168256,2023,0.0,0.49
ESG_168262,2023,0.61,0.18
ESG_168263,2023,10.09,4.05
ESG_168267,2023,2.15,4.15
ESG_168275,2023,0.34,0.52
ESG_168278,2023,14.53,7.74
ESG_168283,2023,0.0,0.2
ESG_168289,2023,4.21,1.02
ESG_168294,2023,6.39,0.91
ESG_168295,2023,20.14,7.08
ESG_168297,2023,29.22,8.99
ESG_168298,2023,0.0,1.42
ESG_168300,2023,24.49,6.75
ESG_168302,2023,31.61,8.46
ESG_168307,2023,6.25,4.49
ESG_168310,2023,2.48,0.55
ESG_168312,2023,0.32,1.37
ESG_168316,2023,13.12,4.54
ESG_168318,2023,0.0,11.31
ESG_168328,2023,0.0,0.4
ESG_168333,2023,5.32,0.37
ESG_168340,2023,1.01,0.12
ESG_168348,2023,0.0,39.21
ESG_168349,2023,0.0,0.64
ESG_168353,2023,0.76,0.07
ESG_168370,2023,1.41,7.67
ESG_168378,2023,0.0,0.11
ESG_168380,2023,1.72,0.3
ESG_168381,2023,0.0,0.1
ESG_168384,2023,0.0,2.03
ESG_168393,2023,0.0,0.11
ESG_168396,2023,0.0,0.46
ESG_168397,2023,11.3,9.94
ESG_168402,2023,0.0,0.19
ESG_168411,2023,0.0,5.4
ESG_168417,2023,2.65,13.13
ESG_168421,2023,0.63,1.82
ESG_168446,2023,15.54,8.77
ESG_168452,2023,0.0,0.39
ESG_168453,2023,13.07,5.03
ESG_168455,2023,0.11,0.01
ESG_168462,2023,1.38,4.17
ESG_168466,2023,0.0,0.01
ESG_168471,2023,0.0,0.19
ESG_168478,2023,0.0,0.07
ESG_168487,2023,0.59,0.31
ESG_168492,2023,0.0,0.14
ESG_168493,2023,2.11,1.33
ESG_168502,2023,6.22,0.49
ESG_168506,2023,1.83,0.12
ESG_168510,2023,0.34,7.7
ESG_168514,2023,0.0,0.13
ESG_168517,2023,1.64,0.88
ESG_168521,2023,0.0,7.28
ESG_168534,2023,0.0,0.01
ESG_168538,2023,0.83,2.62
ESG_168540,2023,0.0,1.38
ESG_168541,2023,0.31,0.24
ESG_168547,2023,0.0,0.05
ESG_168557,2023,0.0,0.43
ESG_168579,2023,0.46,0.05
ESG_168580,2023,1.58,0.32
ESG_168582,2023,0.0,0.09
ESG_168585,2023,8.97,0.5
ESG_168587,2023,0.0,0.04
ESG_168592,2023,1.53,1.41
ESG_168600,2023,0.0,0.23
ESG_168604,2023,0.0,0.5
ESG_168606,2023,0.8,0.02
ESG_168610,2023,0.0,0.34
ESG_168621,2023,10.01,3.32
ESG_168627,2023,0.08,3.12
ESG_168635,2023,0.0,0.01
ESG_168640,2023,24.43,14.31
ESG_168650,2023,5.19,1.21
ESG_168654,2023,0.0,0.01
ESG_168664,2023,3.17,1.03
ESG_168669,2023,0.0,8.72
ESG_168679,2023,0.0,0.14
ESG_168684,2023,6.18,0.2
ESG_168711,2023,25.17,29.84
ESG_168722,2023,0.0,31.02
ESG_168726,2023,0.0,0.51
ESG_168729,2023,0.0,0.03
ESG_168731,2023,4.88,0.79
ESG_168746,2023,0.27,0.05
ESG_168752,2023,0.45,0.04
ESG_168756,2023,0.0,0.28
ESG_168760,2023,0.0,4.75
ESG_168764,2023,0.0,0.51
ESG_168767,2023,0.0,0.56
ESG_168769,2023,3.67,0.53
ESG_168771,2023,1.69,0.21
ESG_168819,2023,0.44,0.02
ESG_168821,2023,5.61,1.03
ESG_168831,2023,0.0,0.25
ESG_168837,2023,0.0,0.01
ESG_168840,2023,0.0,0.04
ESG_168845,2023,0.0,0.11
ESG_168847,2023,0.0,0.41
ESG_168848,2023,2.95,0.26
ESG_168851,2023,0.59,0.1
ESG_168853,2023,0.0,3.68
ESG_168859,2023,0.0,0.5
ESG_168861,2023,0.0,0.09
ESG_168863,2023,0.97,2.05
ESG_168867,2023,3.79,17.36
ESG_168877,2023,0.0,0.08
ESG_168884,2023,0.62,3.93
ESG_168890,2023,0.0,0.0
ESG_168896,2023,0.0,0.36
ESG_168904,2023,10.61,7.45
ESG_168908,2023,0.0,0.69
ESG_168912,2023,0.0,0.05
ESG_168917,2023,0.0,0.86
ESG_168924,2023,0.0,0.0
ESG_168926,2023,0.0,0.07
ESG_168942,2023,0.0,0.13
ESG_168954,2023,0.0,0.06
ESG_168956,2023,0.0,0.01
ESG_168958,2023,0.0,0.44
ESG_168959,2023,4.76,1.59
ESG_168963,2023,0.69,0.04
ESG_168964,2023,1.02,0.18
ESG_168972,2023,0.0,0.45
ESG_168979,2023,0.32,0.05
ESG_168981,2023,0.0,0.37
ESG_168982,2023,0.0,5.94
ESG_168985,2023,0.0,0.02
ESG_168989,2023,0.0,0.13
ESG_169024,2023,0.65,0.02
ESG_169026,2023,0.0,0.51
ESG_169080,2023,0.0,0.74
ESG_169089,2023,0.47,13.34
ESG_169095,2023,0.0,1.71
ESG_169097,2023,0.0,0.02
ESG_169100,2023,5.1,0.44
ESG_169102,2023,0.0,0.05
ESG_169114,2023,1.15,0.6
ESG_169119,2023,0.28,8.8
ESG_169121,2023,0.0,0.32
ESG_169127,2023,0.37,1.22
ESG_169132,2023,1.07,0.18
ESG_169135,2023,1.0,0.31
ESG_169137,2023,0.36,0.8
ESG_169139,2023,1.25,0.67
ESG_169145,2023,0.23,0.34
ESG_169147,2023,0.39,0.44
ESG_169149,2023,1.35,0.07
ESG_169153,2023,0.0,1.51
ESG_169158,2023,0.0,3.22
ESG_169159,2023,0.0,0.0
ESG_169162,2023,0.0,2.33
ESG_169164,2023,0.0,0.26
ESG_169165,2023,4.45,1.85
ESG_169172,2023,0.0,0.01
ESG_169175,2023,0.0,0.06
ESG_169182,2023,0.0,0.03
ESG_169188,2023,0.0,0.68
ESG_169193,2023,0.3,0.98
ESG_169195,2023,0.0,0.37
ESG_169199,2023,3.4,0.72
ESG_169203,2023,0.0,0.03
ESG_169204,2023,2.03,0.25
ESG_169211,2023,2.98,0.15
ESG_169212,2023,0.0,0.79
ESG_169213,2023,0.64,0.05
ESG_169216,2023,0.0,0.23
ESG_169217,2023,0.0,8.15
ESG_169219,2023,2.08,0.44
ESG_169222,2023,22.03,3.99
ESG_169236,2023,0.0,3.38
ESG_169239,2023,0.0,0.05
ESG_169243,2023,0.0,0.31
ESG_169254,2023,24.88,7.25
ESG_169268,2023,0.0,0.17
ESG_169309,2023,0.0,0.11
ESG_169314,2023,0.0,0.24
ESG_169317,2023,0.0,4.79
ESG_169319,2023,0.67,7.77
ESG_169329,2023,0.0,0.19
ESG_169331,2023,5.6,0.85
ESG_169334,2023,0.36,0.84
ESG_169338,2023,0.0,0.0
ESG_169341,2023,23.26,4.3
ESG_169345,2023,0.0,0.98
ESG_169359,2023,0.0,0.15
ESG_169364,2023,0.0,0.05
ESG_169368,2023,0.0,36.3
ESG_169374,2023,0.0,0.8
ESG_169381,2023,0.0,6.43
ESG_169383,2023,0.0,0.15
ESG_169399,2023,0.0,0.0
ESG_169402,2023,0.0,0.16
ESG_169405,2023,0.96,2.87
ESG_169407,2023,0.0,0.14
ESG_169409,2023,0.0,1.74
ESG_169411,2023,0.0,0.22
ESG_169414,2023,0.11,0.45
ESG_169418,2023,3.9,1.95
ESG_169424,2023,0.0,0.27
ESG_169426,2023,0.0,0.03
ESG_169430,2023,0.0,0.44
ESG_169435,2023,2.96,8.61
ESG_169441,2023,1.15,0.07
ESG_169468,2023,0.0,0.0
ESG_169472,2023,0.0,0.02
ESG_169475,2023,0.0,0.69
ESG_169484,2023,0.0,0.74
ESG_169497,2023,0.0,0.07
ESG_169498,2023,10.88,2.34
ESG_169502,2023,0.0,0.42
ESG_169507,2023,0.0,0.22
ESG_169508,2023,0.0,0.01
ESG_169513,2023,4.72,0.92
ESG_169515,2023,1.41,6.03
ESG_169519,2023,0.41,0.22
ESG_169526,2023,0.46,0.08
ESG_169528,2023,0.6,0.29
ESG_169533,2023,6.36,2.51
ESG_169539,2023,0.0,0.22
ESG_169544,2023,0.0,0.86
ESG_169568,2023,0.0,0.01
ESG_169570,2023,0.0,0.07
ESG_169571,2023,0.0,0.14
ESG_169574,2023,0.0,7.25
ESG_169577,2023,0.0,0.41
ESG_169591,2023,0.0,0.05
ESG_169613,2023,0.14,0.09
ESG_169649,2023,0.32,0.66
ESG_169662,2023,0.0,0.0
ESG_169673,2023,0.0,0.0
ESG_169674,2023,0.0,0.19
ESG_169681,2023,0.23,0.09
ESG_169686,2023,29.9,6.94
ESG_169687,2023,0.0,0.0
ESG_169689,2023,0.0,0.0
ESG_169694,2023,0.09,0.02
ESG_169698,2023,0.09,0.1
ESG_169709,2023,2.23,0.15
ESG_169713,2023,3.24,0.58
ESG_169721,2023,0.0,2.55
ESG_169725,2023,0.3,0.07
ESG_169727,2023,0.07,0.05
ESG_169729,2023,0.0,3.78
ESG_169733,2023,13.86,7.69
ESG_169734,2023,0.0,0.0
ESG_169736,2023,1.68,0.11
ESG_169739,2023,0.24,0.02
ESG_169742,2023,0.0,0.01
ESG_169745,2023,0.0,0.06
ESG_169757,2023,0.17,0.01
ESG_169762,2023,0.1,0.01
ESG_169763,2023,0.11,0.04
ESG_169766,2023,0.3,0.32
ESG_169770,2023,1.29,3.79
ESG_169773,2023,0.0,0.0
ESG_169777,2023,1.05,0.13
ESG_169778,2023,0.0,0.5
ESG_169782,2023,1.93,0.27
ESG_169797,2023,6.68,1.61
ESG_169800,2023,0.0,0.0
ESG_169804,2023,0.26,0.03
ESG_169807,2023,0.0,0.0
ESG_169809,2023,0.0,0.71
ESG_169818,2023,4.78,1.81
ESG_169821,2023,0.22,0.32
ESG_169854,2023,0.0,0.8
ESG_169857,2023,1.15,5.43
ESG_170284,2023,0.0,0.11
ESG_170285,2023,0.0,4.77
ESG_170287,2023,1.72,0.42
ESG_170289,2023,0.15,0.04
ESG_170292,2023,0.0,0.82
ESG_170298,2023,0.0,0.1
ESG_170301,2023,0.0,0.04
ESG_170304,2023,1.5,0.92
ESG_182939,2023,5.16,5.36
ESG_182941,2023,0.02,0.11
ESG_182942,2023,0.13,0.28
ESG_182950,2023,2.0,1.1
ESG_182956,2023,5.44,1.42
ESG_182958,2023,20.68,17.75
ESG_183062,2023,0.15,0.36
ESG_183063,2023,0.77,0.6
ESG_183064,2023,0.38,0.93
ESG_183065,2023,0.0,1.65
ESG_183066,2023,0.0,1.23
ESG_183067,2023,1.01,2.44
ESG_183068,2023,0.69,0.68
ESG_183072,2023,5.18,4.14
ESG_183081,2023,3.38,6.43
ESG_183089,2023,1.23,0.26
ESG_183092,2023,2.95,1.42
ESG_183103,2023,5.95,8.61
ESG_183119,2023,3.81,0.81
ESG_183125,2023,3.71,0.62
ESG_183145,2023,1.52,5.69
ESG_183152,2023,0.36,0.14
ESG_183175,2023,7.21,16.33
ESG_183176,2023,7.59,6.52
ESG_183186,2023,2.9,2.66
ESG_183217,2023,7.59,39.38
ESG_183228,2023,0.93,0.17
ESG_183234,2023,0.95,22.3
ESG_183239,2023,0.88,0.22
ESG_183380,2023,0.0,0.31
ESG_183381,2023,15.59,32.96
ESG_183382,2023,0.0,0.87
ESG_183383,2023,0.48,0.5
ESG_183384,2023,10.04,2.83
ESG_183394,2023,0.0,0.47
ESG_183397,2023,1.15,0.44
ESG_183399,2023,0.0,0.27
ESG_183401,2023,5.86,1.83
ESG_183410,2023,7.0,0.53
ESG_183417,2023,3.28,0.52
ESG_183433,2023,0.92,6.02
ESG_183449,2023,6.28,0.55
ESG_183459,2023,8.63,13.77
ESG_183466,2023,0.42,0.13
ESG_183470,2023,1.51,8.37
ESG_183471,2023,1.85,1.15
ESG_183472,2023,0.0,1.31
ESG_183473,2023,1.85,0.05
ESG_183474,2023,6.13,1.98
ESG_183568,2023,0.52,0.41
ESG_183569,2023,0.59,0.3
ESG_183570,2023,0.0,0.15
ESG_183571,2023,0.0,10.48
ESG_183572,2023,0.17,0.42
ESG_183574,2023,,
ESG_183595,2023,8.12,0.99
ESG_183601,2023,2.96,1.3
ESG_183611,2023,2.5,1.4
ESG_183615,2023,3.12,46.72
ESG_183625,2023,0.0,0.39
ESG_183636,2023,2.64,6.69
ESG_183639,2023,0.66,1.12
ESG_183641,2023,0.5,12.92
ESG_183645,2023,0.0,0.12
ESG_183647,2023,0.71,2.64
ESG_183655,2023,0.0,0.88
ESG_183688,2023,8.64,2.35
ESG_183690,2023,1.45,2.19
ESG_183697,2023,6.59,3.23
ESG_183699,2023,11.11,11.43
ESG_183700,2023,0.0,0.74
ESG_183705,2023,3.18,2.35
ESG_183710,2023,0.0,1.09
ESG_183711,2023,0.0,0.0
ESG_183714,2023,1.22,0.21
ESG_183782,2023,12.62,5.05
ESG_183783,2023,10.02,2.45
ESG_183784,2023,,
ESG_183785,2023,,
ESG_183786,2023,6.92,0.29
ESG_183787,2023,13.29,7.81
ESG_183788,2023,,
ESG_183789,2023,2.75,5.07
ESG_183791,2023,6.47,2.12
ESG_183793,2023,9.25,4.55
ESG_183804,2023,15.73,6.81
ESG_183814,2023,2.1,20.09
ESG_183823,2023,2.07,0.23
ESG_183826,2023,1.26,1.0
ESG_183832,2023,0.25,0.46
ESG_183836,2023,0.99,0.68
ESG_183840,2023,6.99,0.42
ESG_183867,2023,9.21,3.84
ESG_183869,2023,0.0,9.92
ESG_183870,2023,0.58,0.68
ESG_183871,2023,7.12,1.08
ESG_183872,2023,0.39,0.42
ESG_183873,2023,0.92,0.24
ESG_183876,2023,0.8,0.6
ESG_183878,2023,0.22,0.67
ESG_183896,2023,1.05,1.62
ESG_183899,2023,32.04,55.47
ESG_183926,2023,10.78,3.14
ESG_183927,2023,0.0,0.0
ESG_183929,2023,0.0,20.35
ESG_183930,2023,0.0,6.03
ESG_183931,2023,0.0,0.0
ESG_183932,2023,0.0,0.0
ESG_183933,2023,0.0,0.19
ESG_183940,2023,2.24,0.49
ESG_183942,2023,0.0,0.34
ESG_183945,2023,0.0,0.11
ESG_183950,2023,0.77,2.23
ESG_183951,2023,0.68,2.89
ESG_183956,2023,0.0,0.01
ESG_184009,2023,2.54,1.23
ESG_184013,2023,0.0,0.0
ESG_184014,2023,0.0,0.4
ESG_184016,2023,0.0,0.36
ESG_184018,2023,1.21,9.04
ESG_184019,2023,2.13,14.42
ESG_184022,2023,3.04,0.14
ESG_184026,2023,15.77,5.06
ESG_184029,2023,0.0,0.62
ESG_184030,2023,0.0,0.06
ESG_184032,2023,0.0,0.03
ESG_184035,2023,0.51,0.74
ESG_184038,2023,0.2,4.68
ESG_184039,2023,0.0,0.64
ESG_184043,2023,0.0,0.02
ESG_184048,2023,0.0,0.05
ESG_184050,2023,0.0,0.17
ESG_184051,2023,0.0,0.35
ESG_184054,2023,3.12,1.19
ESG_184055,2023,0.0,0.08
ESG_184058,2023,0.0,0.0
ESG_184060,2023,2.06,0.27
ESG_184062,2023,0.0,0.7
ESG_184063,2023,0.0,0.07
ESG_184065,2023,0.0,0.16
ESG_184067,2023,0.0,0.1
ESG_184071,2023,0.0,0.67
ESG_184073,2023,1.62,0.59
ESG_184075,2023,6.06,1.34
ESG_184079,2023,0.35,0.17
ESG_184083,2023,0.0,0.94
ESG_184084,2023,0.0,3.37
ESG_184086,2023,0.0,0.04
ESG_184095,2023,0.45,0.02
ESG_184098,2023,1.06,0.05
ESG_184099,2023,0.0,0.97
ESG_184100,2023,0.0,1.05
ESG_184102,2023,0.0,0.21
ESG_184104,2023,0.0,0.8
ESG_184106,2023,0.0,0.0
ESG_184107,2023,0.0,0.04
ESG_184112,2023,0.0,0.87
ESG_184114,2023,0.0,3.71
ESG_184117,2023,0.0,0.93
ESG_184125,2023,2.02,0.63
ESG_184126,2023,4.19,4.2
ESG_184127,2023,0.0,0.19
ESG_184129,2023,0.0,0.75
ESG_184136,2023,2.69,0.51
ESG_184139,2023,0.76,0.3
ESG_184142,2023,1.08,28.14
ESG_184143,2023,1.48,0.79
ESG_184154,2023,0.0,1.13
ESG_184156,2023,1.36,1.27
ESG_184157,2023,3.39,1.0
ESG_184159,2023,0.0,0.11
ESG_184168,2023,0.0,0.27
ESG_184169,2023,0.0,0.27
ESG_184171,2023,0.0,0.01
ESG_184174,2023,1.18,9.84
ESG_184176,2023,0.0,20.42
ESG_184177,2023,0.0,1.48
ESG_184178,2023,,
ESG_184179,2023,0.0,0.37
ESG_184183,2023,0.0,0.19
ESG_184184,2023,1.35,1.82
ESG_184187,2023,15.21,13.25
